symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VOO,2011-02-10,60.51,60.58,60.08,60.2,250399,100.7930488845,100.9096496682,100.0767869275,100.2766739853,125199,0.0,1.0
VOO,2011-02-11,60.89,60.96,60.28,60.3,298331,101.4260245675,101.5426253512,100.4099320238,100.4432465334,149165,0.0,1.0
VOO,2011-02-14,61.04,61.07,60.79,60.86,184393,101.6758833897,101.7258551542,101.2594520193,101.376052803,92196,0.0,1.0
VOO,2011-02-15,60.824,60.93,60.69,60.86,164279,101.3160866857,101.4926535867,101.0928794712,101.376052803,82139,0.0,1.0
VOO,2011-02-16,61.21,61.3,60.986,61.05,188587,101.9590567216,102.1089720149,101.5859342137,101.6925406445,94293,0.0,1.0
VOO,2011-02-17,61.44,61.48,60.98,61.03,316496,102.3421735823,102.4088026016,101.5759398608,101.6592261349,158248,0.0,1.0
VOO,2011-02-18,61.54,61.61,61.34,61.48,241580,102.5087461305,102.6253469142,102.1756010342,102.4088026016,120790,0.0,1.0
VOO,2011-02-22,60.28,61.19,60.12,60.84,576754,100.4099320238,101.9257422119,100.1434159467,101.3427382934,288377,0.0,1.0
VOO,2011-02-23,59.94,60.38,59.55,60.25,551922,99.8435853601,100.5765045719,99.1939524223,100.3599602593,275961,0.0,1.0
VOO,2011-02-24,59.88,60.076,59.33,59.83,482511,99.7436418312,100.0701240256,98.8274928164,99.6603555571,241255,0.0,1.0
VOO,2011-02-25,60.53,60.56,60.1,60.17,212659,100.8263633942,100.8763351586,100.1101014371,100.2267022208,106329,0.0,1.0
VOO,2011-02-28,60.89,60.97,60.58,60.77,416693,101.4260245675,101.559282606,100.9096496682,101.2261375097,208346,0.0,1.0
VOO,2011-03-01,59.85,61.15,59.85,61.14,470678,99.6936700667,101.8591131927,99.6936700667,101.8424559379,235339,0.0,1.0
VOO,2011-03-02,60.02,60.28,59.75,59.81,352623,99.9768433986,100.4099320238,99.5270975186,99.6270410475,176311,0.0,1.0
VOO,2011-03-03,61.05,61.119,60.54,60.54,272856,101.6925406445,101.8074757027,100.843020649,100.843020649,136428,0.0,1.0
VOO,2011-03-04,60.6,61.03,60.2,61.03,337061,100.9429641779,101.6592261349,100.2766739853,101.6592261349,168530,0.0,1.0
VOO,2011-03-07,60.07,60.874,59.8,60.8,310088,100.0601296727,101.3993729598,99.6103837927,101.2761092742,155044,0.0,1.0
VOO,2011-03-08,60.63,60.8088,59.98,60.21,212624,100.9929359423,101.2907676584,99.9102143793,100.2933312401,106312,0.0,1.0
VOO,2011-03-09,60.56,60.69,60.25,60.53,239707,100.8763351586,101.0928794712,100.3599602593,100.8263633942,119853,0.0,1.0
VOO,2011-03-10,59.45,59.94,59.38,59.94,535694,99.0273798742,99.8435853601,98.9107790904,99.8435853601,267847,0.0,1.0
VOO,2011-03-11,59.85,60.07,59.2,59.2,268686,99.6936700667,100.0601296727,98.6109485038,98.6109485038,134343,0.0,1.0
VOO,2011-03-14,59.5,59.6299,59.0328,59.48,292184,99.1106661482,99.3270438883,98.3324392033,99.0773516386,146092,0.0,1.0
VOO,2011-03-15,58.839,59.12,57.81,57.91,706774,98.009621605,98.4776904653,96.2955900845,96.4621626327,353387,0.0,1.0
VOO,2011-03-16,57.72,58.78,57.32,58.63,680305,96.1456747912,97.9113438016,95.4793845986,97.6614849793,340152,0.0,1.0
VOO,2011-03-17,58.44,58.7,58.121,58.57,352325,97.3449971379,97.778085763,96.8136307093,97.5615414504,176162,0.0,1.0
VOO,2011-03-18,58.69,59.2,58.57,59.2,256100,97.7614285082,98.6109485038,97.5615414504,98.6109485038,128050,0.0,1.0
VOO,2011-03-21,59.58,59.69,59.34,59.42,272663,99.2439241867,99.4271539897,98.8441500712,98.9774081097,136331,0.0,1.0
VOO,2011-03-22,59.37,59.65,59.349,59.59,275562,98.8941218356,99.3605249705,98.8591416005,99.2605814416,137781,0.0,1.0
VOO,2011-03-23,59.56,59.71,58.97,59.26,408224,99.2106096771,99.4604684993,98.227831643,98.7108920327,204112,0.0,1.0
VOO,2011-03-24,60.1154,60.19,59.5999,59.91,221562,100.1357536095,100.2600167305,99.2770721238,99.7936135956,110781,0.0,1.0
VOO,2011-03-25,60.03,60.29,59.89,60.01,268842,100.4399150825,100.8749372034,100.2056724019,100.4064518424,134421,0.268,1.0
VOO,2011-03-28,59.9,60.32,59.884,60.19,333257,100.222404022,100.9251320635,100.1956334299,100.707621003,166628,0.0,1.0
VOO,2011-03-29,60.292,60.31,59.647,59.85,221863,100.8782835274,100.9084004435,99.799094035,100.1387459218,110931,0.0,1.0
